threshold,precision_1,recall_1,f1_1,accuracy,predicted_as_1
0.05,0.24547069271758437,0.9732394366197183,0.3920567375886525,0.8771356495814701,2815
0.1,0.2861394557823129,0.9478873239436619,0.4395819725669497,0.9016167870657035,2352
0.15,0.313126491646778,0.923943661971831,0.4677361853832442,0.9144020181171884,2095
0.2,0.3309166235111341,0.9,0.48390761075350247,0.9218552918243321,1931
0.25,0.3475336322869955,0.8732394366197183,0.4971932638331997,0.9281045751633987,1784
0.3,0.36167664670658684,0.8507042253521127,0.507563025210084,0.9328058708863662,1670
0.35,0.372848948374761,0.823943661971831,0.5133830627468188,0.9364178419905974,1569
0.4,0.38336713995943206,0.7985915492957747,0.5180447693010507,0.9395138172227956,1479
0.45,0.3992753623188406,0.776056338028169,0.5272727272727272,0.9433551198257081,1380
0.5,0.4122137404580153,0.7605633802816901,0.5346534653465347,0.9461070978098842,1310
0.55,0.42301458670988656,0.7352112676056338,0.5370370370370371,0.9484004127966976,1234
0.6,0.43429068755439515,0.7028169014084507,0.5368477676169984,0.9506363949088408,1149
0.65,0.45090562440419446,0.6661971830985915,0.5378055713473564,0.9533883728930168,1049
0.7,0.4654994850669413,0.6366197183098592,0.5377751338488994,0.955452356381149,971
0.75,0.4812286689419795,0.5957746478873239,0.5324103209565765,0.9574016741199404,879
0.8,0.4922879177377892,0.5394366197183098,0.5147849462365591,0.9586056644880174,778
0.85,0.5060240963855421,0.4732394366197183,0.4890829694323144,0.9597523219814241,664
0.9,0.5375939849624061,0.4028169014084507,0.4605475040257649,0.9615869739708749,532
0.95,0.5609065155807366,0.27887323943661974,0.37253057384760113,0.9617589725948859,353
